<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,,<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>,,first,high,low,close
Gold.Coin.9712,20180811,3531586,3531586,3531586,3531586,3884744600,1100,12,D,3363416,3531586,,,Lotus.Gold.Com.ETF,20180811,30009,30300,29001,29576,3.7142E+11,12558351,3419,D,26698,30001,,117.6842281,116.5539934,121.7746285,119.4071544
Gold.Coin.9712,20180808,3300000,3470000,3260000,3363416,1.13583E+11,33770,999,D,3322301,3450000,,,Lotus.Gold.Com.ETF,20180808,26001,27000,26000,26698,1.74654E+11,6541798,2109,D,25037,26890,,126.9181955,128.5185185,125.3846154,125.9800734
Gold.Coin.9712,20180807,3322301,3322301,3322301,3322301,15083246540,4540,115,D,3497159,3322301,,,Lotus.Gold.Com.ETF,20180807,25030,25299,24900,25037,62942533906,2513960,815,D,26443,25011,,132.7327607,131.3214356,133.425743,132.6956504
Gold.Coin.9712,20180806,3497159,3497159,3497159,3497159,15387499600,4400,102,D,3681221,3497159,,,Lotus.Gold.Com.ETF,20180806,26900,27330,25100,26443,1.49368E+11,5648649,1727,D,27880,25199,,130.0059108,127.9604464,139.3290438,132.2527323
Gold.Coin.9712,20180805,3681031,3719000,3681031,3681221,65525733370,17800,433,D,3874770,3681031,,,Lotus.Gold.Com.ETF,20180805,26850,28500,26820,27880,3.797E+11,13618888,2623,D,30159,27551,,137.0961266,130.4912281,137.249478,132.038056
Gold.Coin.9712,20180804,3965706,3965706,3814198,3874770,65948584790,17020,486,D,4014946,3814198,,,Lotus.Gold.Com.ETF,20180804,30570,30600,29011,30159,4.20382E+11,13938718,2093,D,31119,29195,,129.7254171,129.5982353,131.4741994,128.4780662
Gold.Coin.9712,20180801,4075000,4130000,3925000,4014946,79335327260,19760,770,D,4026333,3925001,,,Lotus.Gold.Com.ETF,20180801,30611,31699,30501,31119,2.979E+11,9572923,2457,D,31291,30700,,133.1220803,130.2880217,128.6843054,129.0191202
Gold.Coin.9712,20180731,4178241,4178241,3788888,4026333,1.09154E+11,27110,1051,D,3979277,3835000,,,Lotus.Gold.Com.ETF,20180731,32510,32511,29800,31291,6.45243E+11,20620916,4286,D,33289,29900,,128.5217164,128.5177632,127.1438926,128.6738359
Gold.Coin.9712,20180730,3979277,3979277,3979277,3979277,1273368640,320,9,D,3789788,3979277,,,Lotus.Gold.Com.ETF,20180730,32989,33700,32300,33289,4.34198E+11,13043387,3357,D,32268,33535,,120.6243596,118.0794362,123.1974303,119.5372946
Gold.Coin.9712,20180729,3789788,3789788,3789788,3789788,833753360,220,4,D,3609322,3789788,,,Lotus.Gold.Com.ETF,20180729,32002,34899,31000,32268,3.05234E+11,9459245,3987,D,28467,31500,,118.4234735,108.5930256,122.2512258,117.4472542
Gold.Coin.9712,20180728,3580000,3651675,3501000,3609322,39088961570,10830,419,D,3477786,3651675,,,Lotus.Gold.Com.ETF,20180728,27901,28970,27892,28467,4.84124E+11,17006224,2348,D,27325,28781,,128.3108132,126.0502244,125.5198623,126.7896863
